% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
6 +2.505140327e+03 +2.505140327e+03 +2.455740327e+03 +2.455740327e+03
11 +2.453867897e+03 +2.453867897e+03 +2.404467897e+03 +2.404467897e+03
18 +2.231133291e+03 +2.231133291e+03 +2.181733291e+03 +2.181733291e+03
33 +2.070759629e+03 +2.070759629e+03 +2.021359629e+03 +2.021359629e+03
195 +1.966386349e+03 +1.966386349e+03 +1.916986349e+03 +1.916986349e+03
283 +1.691455509e+03 +1.691455509e+03 +1.642055509e+03 +1.642055509e+03
328 +1.576913767e+03 +1.576913767e+03 +1.527513767e+03 +1.527513767e+03
615 +1.469494939e+03 +1.469494939e+03 +1.420094939e+03 +1.420094939e+03
4227 +1.343299248e+03 +1.343299248e+03 +1.293899248e+03 +1.293899248e+03
20303 +1.239398054e+03 +1.239398054e+03 +1.189998054e+03 +1.189998054e+03
49017 +1.206920706e+03 +1.206920706e+03 +1.157520706e+03 +1.157520706e+03
84818 +1.118108757e+03 +1.118108757e+03 +1.068708757e+03 +1.068708757e+03
307716 +8.643975535e+02 +8.643975535e+02 +8.149975535e+02 +8.149975535e+02
62974776 +8.509882871e+02 +8.509882871e+02 +8.015882871e+02 +8.015882871e+02
% function evaluation | noise-free fitness - Fopt (-5.557000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.557732180e+03 +2.557732180e+03 +2.502162180e+03 +2.502162180e+03
25 +2.441488116e+03 +2.441488116e+03 +2.385918116e+03 +2.385918116e+03
30 +2.215412366e+03 +2.215412366e+03 +2.159842366e+03 +2.159842366e+03
58 +2.123098468e+03 +2.123098468e+03 +2.067528468e+03 +2.067528468e+03
66 +1.992160848e+03 +1.992160848e+03 +1.936590848e+03 +1.936590848e+03
99 +1.861975224e+03 +1.861975224e+03 +1.806405224e+03 +1.806405224e+03
121 +1.816431855e+03 +1.816431855e+03 +1.760861855e+03 +1.760861855e+03
186 +1.772454145e+03 +1.772454145e+03 +1.716884145e+03 +1.716884145e+03
234 +1.731865513e+03 +1.731865513e+03 +1.676295513e+03 +1.676295513e+03
277 +1.575908772e+03 +1.575908772e+03 +1.520338772e+03 +1.520338772e+03
676 +1.519828917e+03 +1.519828917e+03 +1.464258917e+03 +1.464258917e+03
1474 +1.336175144e+03 +1.336175144e+03 +1.280605144e+03 +1.280605144e+03
9606 +1.229892224e+03 +1.229892224e+03 +1.174322224e+03 +1.174322224e+03
22163 +1.101825021e+03 +1.101825021e+03 +1.046255021e+03 +1.046255021e+03
81990 +1.026881675e+03 +1.026881675e+03 +9.713116753e+02 +9.713116753e+02
198560 +1.021991840e+03 +1.021991840e+03 +9.664218396e+02 +9.664218396e+02
527234 +9.994295471e+02 +9.994295471e+02 +9.438595471e+02 +9.438595471e+02
1370550 +9.355244223e+02 +9.355244223e+02 +8.799544223e+02 +8.799544223e+02
2679999 +8.852040778e+02 +8.852040778e+02 +8.296340778e+02 +8.296340778e+02
6221703 +8.652116027e+02 +8.652116027e+02 +8.096416027e+02 +8.096416027e+02
